5852931,3943.00,2019-02-19_15:36:47.143935
5853031,3939.00,2019-02-19_15:36:47.238665
5853131,3939.00,2019-02-19_15:36:47.337906
5853231,3942.00,2019-02-19_15:36:47.440637
5853331,3935.00,2019-02-19_15:36:47.539182
5853431,3935.00,2019-02-19_15:36:47.636920
5853531,3935.00,2019-02-19_15:36:47.737151
5853631,3943.00,2019-02-19_15:36:47.838390
5853731,3941.00,2019-02-19_15:36:47.938123
5853831,3947.00,2019-02-19_15:36:48.036858
5853931,3943.00,2019-02-19_15:36:48.137589
5854031,3943.00,2019-02-19_15:36:48.236363
5854131,3951.00,2019-02-19_15:36:48.337559
5854231,3943.00,2019-02-19_15:36:48.437291
5854331,3931.00,2019-02-19_15:36:48.538048
5854431,3947.00,2019-02-19_15:36:48.637755
5854531,3942.00,2019-02-19_15:36:48.739484
5854631,3935.00,2019-02-19_15:36:48.838224
5854731,3943.00,2019-02-19_15:36:48.937762
5854831,3939.00,2019-02-19_15:36:49.038486
5854931,3950.00,2019-02-19_15:36:49.139217
5855031,3942.00,2019-02-19_15:36:49.238503
5855131,3943.00,2019-02-19_15:36:49.338064
5855231,3943.00,2019-02-19_15:36:49.437307
5855331,3942.00,2019-02-19_15:36:49.538038
5855431,3943.00,2019-02-19_15:36:49.638768
5855531,3947.00,2019-02-19_15:36:49.736507
5855631,3951.00,2019-02-19_15:36:49.837238
5855731,3943.00,2019-02-19_15:36:49.939774
5855831,3943.00,2019-02-19_15:36:50.040545
5855931,3947.00,2019-02-19_15:36:50.137283
5856031,3951.00,2019-02-19_15:36:50.237978
5856131,3947.00,2019-02-19_15:36:50.342700
5856231,3946.00,2019-02-19_15:36:50.437444
5856331,3947.00,2019-02-19_15:36:50.537069
5856431,3943.00,2019-02-19_15:36:50.639809
5856531,3947.00,2019-02-19_15:36:50.737058
5856631,3949.00,2019-02-19_15:36:50.838384
5856731,3947.00,2019-02-19_15:36:50.943104
5856831,3947.00,2019-02-19_15:36:51.037359
5856931,3947.00,2019-02-19_15:36:51.136604
5857031,3943.00,2019-02-19_15:36:51.240327
5857131,3941.00,2019-02-19_15:36:51.340072
5857231,3943.00,2019-02-19_15:36:51.438850
5857331,3943.00,2019-02-19_15:36:51.539568
5857431,3947.00,2019-02-19_15:36:51.639260
5857531,3949.00,2019-02-19_15:36:51.737998
5857631,3943.00,2019-02-19_15:36:51.839723
5857731,3943.00,2019-02-19_15:36:51.938460
5857831,3943.00,2019-02-19_15:36:52.038192
5857931,3947.00,2019-02-19_15:36:52.137926
5858031,3935.00,2019-02-19_15:36:52.239653
5858131,3947.00,2019-02-19_15:36:52.342384
5858231,3939.00,2019-02-19_15:36:52.437877
5858331,3947.00,2019-02-19_15:36:52.537577
5858431,3951.00,2019-02-19_15:36:52.638085
5858531,3943.00,2019-02-19_15:36:52.737331
5858631,3943.00,2019-02-19_15:36:52.836067
5858731,3947.00,2019-02-19_15:36:52.936798
5858831,3943.00,2019-02-19_15:36:53.037528
5858931,3947.00,2019-02-19_15:36:53.136264
5859031,3943.00,2019-02-19_15:36:53.237992
5859131,3947.00,2019-02-19_15:36:53.337240
