2018-11-26_12:38:47.195000,3287.00,1501.00
2018-11-26_12:38:47.329000,1461.00,1502.00
2018-11-26_12:38:47.463000,1678.00,1488.00
2018-11-26_12:38:47.601000,1414.00,1405.00
2018-11-26_12:38:47.774000,1072.00,1504.00
2018-11-26_12:38:47.949000,1262.00,1456.00
2018-11-26_12:38:48.122000,1280.00,1485.00
2018-11-26_12:38:48.292000,2117.00,1472.00
2018-11-26_12:38:48.461000,3855.00,1468.00
2018-11-26_12:38:48.597000,1762.00,1492.00
2018-11-26_12:38:48.708000,1566.00,1451.00
2018-11-26_12:38:48.810000,1651.00,1443.00
2018-11-26_12:38:48.936000,1159.00,1435.00
2018-11-26_12:38:49.072000,1223.00,1454.00
2018-11-26_12:38:49.183000,1371.00,1420.00
2018-11-26_12:38:49.323000,1517.00,1420.00
2018-11-26_12:38:49.462000,3871.00,1394.00
2018-11-26_12:38:49.595000,1746.00,1414.00
2018-11-26_12:38:49.725000,1422.00,1413.00
2018-11-26_12:38:49.917000,1987.00,1404.00
2018-11-26_12:38:50.043000,1202.00,1406.00
2018-11-26_12:38:50.182000,1246.00,1405.00
2018-11-26_12:38:50.324000,1446.00,1398.00
2018-11-26_12:38:50.448000,3758.00,1389.00
2018-11-26_12:38:50.574000,2125.00,1383.00
2018-11-26_12:38:50.712000,1168.00,1376.00
2018-11-26_12:38:50.850000,1930.00,1388.00
2018-11-26_12:38:50.991000,1271.00,1389.00
2018-11-26_12:38:51.133000,1136.00,1417.00
2018-11-26_12:38:51.268000,1344.00,1392.00
2018-11-26_12:38:51.413000,3863.00,1405.00
2018-11-26_12:38:51.560000,3631.00,1372.00
2018-11-26_12:38:51.692000,1506.00,1393.00
2018-11-26_12:38:51.815000,1773.00,1406.00
2018-11-26_12:38:51.991000,1488.00,1378.00
2018-11-26_12:38:52.118000,1137.00,1392.00
2018-11-26_12:38:52.244000,1321.00,1397.00
2018-11-26_12:38:52.377000,1432.00,1392.00
2018-11-26_12:38:52.525000,3893.00,1408.00
2018-11-26_12:38:52.665000,2661.00,1386.00
2018-11-26_12:38:52.790000,1386.00,1385.00
2018-11-26_12:38:52.920000,1779.00,1389.00
2018-11-26_12:38:53.050000,1300.00,1394.00
2018-11-26_12:38:53.189000,1132.00,1391.00
2018-11-26_12:38:53.412000,1344.00,1386.00
2018-11-26_12:38:53.540000,1281.00,1385.00
2018-11-26_12:38:53.709000,2449.00,1424.00
2018-11-26_12:38:53.857000,3863.00,1386.00
2018-11-26_12:38:53.988000,1626.00,1376.00
2018-11-26_12:38:54.131000,1575.00,1280.00
2018-11-26_12:38:54.319000,1632.00,1392.00
2018-11-26_12:38:54.442000,1110.00,1392.00
2018-11-26_12:38:54.572000,1158.00,1392.00
2018-11-26_12:38:54.699000,1306.00,1401.00
2018-11-26_12:38:54.845000,1657.00,1450.00
2018-11-26_12:38:54.978000,3867.00,1402.00
2018-11-26_12:38:55.134000,1744.00,1374.00
2018-11-26_12:38:55.267000,1435.00,1401.00
2018-11-26_12:38:55.401000,1886.00,1397.00
2018-11-26_12:38:55.530000,1198.00,1393.00
2018-11-26_12:38:55.650000,1216.00,1395.00
2018-11-26_12:38:55.831000,1404.00,1404.00
2018-11-26_12:38:55.936000,3035.00,1392.00
2018-11-26_12:38:56.065000,2845.00,1398.00
2018-11-26_12:38:56.192000,1061.00,1411.00
2018-11-26_12:38:56.356000,2082.00,1398.00
2018-11-26_12:38:56.490000,1535.00,1391.00
