time,pulse,breath,gsr,datetime
"set(['g: 4095.00', 'p: 2687.00', 'b: 1466.00', '2018-10-31_16:35:52.251000', 't: 1192819'])"
"set(['t: 1192839', '2018-10-31_16:35:52.292000', 'b: 1465.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1467.00', 't: 1192859', '2018-10-31_16:35:52.337000', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1460.00', 'p: 2691.00', 't: 1192879', '2018-10-31_16:35:52.389000', 'g: 4095.00'])"
"set(['b: 1458.00', 'p: 2689.00', 'g: 4095.00', '2018-10-31_16:35:52.442000', 't: 1192899'])"
"set(['b: 1458.00', 't: 1192919', 'p: 2691.00', 'g: 4095.00', '2018-10-31_16:35:52.532000'])"
"set(['t: 1192939', '2018-10-31_16:35:52.584000', 'g: 4095.00', 'p: 2685.00', 'b: 1457.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:52.636000', 'b: 1457.00', 't: 1192959', 'p: 2687.00'])"
"set(['b: 1458.00', 'p: 2691.00', 't: 1192979', 'g: 4095.00', '2018-10-31_16:35:52.676000'])"
"set(['b: 1453.00', 't: 1192999', '2018-10-31_16:35:52.725000', 'g: 4095.00', 'p: 2687.00'])"
"set(['p: 2689.00', '2018-10-31_16:35:52.777000', 't: 1193019', 'b: 1454.00', 'g: 4095.00'])"
"set(['b: 1445.00', '2018-10-31_16:35:52.831000', 'g: 4095.00', 't: 1193039', 'p: 2687.00'])"
"set(['t: 1193059', 'b: 1456.00', '2018-10-31_16:35:52.884000', 'p: 2691.00', 'g: 4095.00'])"
"set(['t: 1193079', '2018-10-31_16:35:52.938000', 'p: 2707.00', 'b: 1457.00', 'g: 4095.00'])"
"set(['2018-10-31_16:35:52.983000', 't: 1193099', 'b: 1457.00', 'p: 2688.00', 'g: 4095.00'])"
"set(['p: 2673.00', 't: 1193119', 'b: 1467.00', '2018-10-31_16:35:53.031000', 'g: 4095.00'])"
"set(['2018-10-31_16:35:53.076000', 'p: 2690.00', 'g: 4095.00', 'b: 1477.00', 't: 1193139'])"
"set(['g: 4095.00', '2018-10-31_16:35:53.128000', 'b: 1465.00', 't: 1193159', 'p: 2690.00'])"
"set(['2018-10-31_16:35:53.182000', 'b: 1456.00', 't: 1193179', 'g: 4095.00', 'p: 2687.00'])"
"set(['g: 4095.00', 't: 1193199', '2018-10-31_16:35:53.227000', 'b: 1466.00', 'p: 2690.00'])"
"set(['b: 1461.00', '2018-10-31_16:35:53.281000', 't: 1193219', 'g: 4095.00', 'p: 2687.00'])"
"set(['t: 1193239', 'b: 1459.00', 'p: 2691.00', 'g: 4095.00', '2018-10-31_16:35:53.333000'])"
"set(['g: 4095.00', '2018-10-31_16:35:53.378000', 'b: 1457.00', 't: 1193259', 'p: 2687.00'])"
"set(['2018-10-31_16:35:53.427000', 't: 1193279', 'g: 4095.00', 'b: 1449.00', 'p: 2687.00'])"
"set(['g: 4095.00', 't: 1193299', '2018-10-31_16:35:53.475000', 'b: 1456.00', 'p: 2687.00'])"
"set(['b: 1456.00', 'p: 2687.00', 'g: 4095.00', '2018-10-31_16:35:53.518000', 't: 1193319'])"
"set(['t: 1193339', 'b: 1456.00', '2018-10-31_16:35:53.615000', 'g: 4095.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:53.667000', 'b: 1456.00', 't: 1193359', 'g: 4095.00', 'p: 2690.00'])"
"set(['p: 2689.00', 'b: 1456.00', 't: 1193379', '2018-10-31_16:35:53.717000', 'g: 4095.00'])"
