time,pulse,datetime
31859,1745,2018-11-08_10:07:36.501000
31879,1727,2018-11-08_10:07:36.590000
31899,1590,2018-11-08_10:07:36.679000
31919,1392,2018-11-08_10:07:36.763000
31939,1173,2018-11-08_10:07:36.870000
31959,960,2018-11-08_10:07:36.972000
31979,834,2018-11-08_10:07:37.056000
31999,752,2018-11-08_10:07:37.187000
32019,744,2018-11-08_10:07:37.325000
32039,770,2018-11-08_10:07:37.458000
32059,825,2018-11-08_10:07:37.547000
32079,880,2018-11-08_10:07:37.647000
32099,965,2018-11-08_10:07:37.778000
32119,1172,2018-11-08_10:07:37.886000
32139,1732,2018-11-08_10:07:37.969000
32159,2736,2018-11-08_10:07:38.068000
32179,3879,2018-11-08_10:07:38.161000
32199,3879,2018-11-08_10:07:38.288000
32219,3879,2018-11-08_10:07:38.421000
32239,3887,2018-11-08_10:07:38.549000
32259,3883,2018-11-08_10:07:38.650000
32279,3885,2018-11-08_10:07:38.785000
32299,3879,2018-11-08_10:07:38.921000
32319,3886,2018-11-08_10:07:39.031000
32339,3878,2018-11-08_10:07:39.117000
32359,3879,2018-11-08_10:07:39.209000
32379,3879,2018-11-08_10:07:39.301000
32399,3878,2018-11-08_10:07:39.392000
32419,3879,2018-11-08_10:07:39.484000
32439,3386,2018-11-08_10:07:39.572000
32459,2337,2018-11-08_10:07:39.690000
32479,1686,2018-11-08_10:07:39.765000
32499,1315,2018-11-08_10:07:39.838000
32519,1168,2018-11-08_10:07:39.971000
32539,1145,2018-11-08_10:07:40.087000
32559,1146,2018-11-08_10:07:40.158000
32579,1114,2018-11-08_10:07:40.217000
32599,1050,2018-11-08_10:07:40.267000
32619,955,2018-11-08_10:07:40.373000
32639,864,2018-11-08_10:07:40.504000
32659,784,2018-11-08_10:07:40.633000
32679,729,2018-11-08_10:07:40.739000
32699,710,2018-11-08_10:07:40.835000
32719,720,2018-11-08_10:07:40.918000
32739,770,2018-11-08_10:07:41.036000
32759,830,2018-11-08_10:07:41.117000
32779,884,2018-11-08_10:07:41.196000
32799,928,2018-11-08_10:07:41.284000
32819,964,2018-11-08_10:07:41.370000
32839,1054,2018-11-08_10:07:41.478000
32859,1341,2018-11-08_10:07:41.575000
32879,2042,2018-11-08_10:07:41.717000
32899,3263,2018-11-08_10:07:41.822000
32919,3879,2018-11-08_10:07:41.884000
32939,3883,2018-11-08_10:07:41.991000
32959,3883,2018-11-08_10:07:42.125000
32979,3886,2018-11-08_10:07:42.251000
32999,3879,2018-11-08_10:07:42.369000
33019,3879,2018-11-08_10:07:42.478000
33039,3885,2018-11-08_10:07:42.571000
33059,3885,2018-11-08_10:07:42.687000
33079,3885,2018-11-08_10:07:42.811000
33099,3887,2018-11-08_10:07:42.946000
33119,3879,2018-11-08_10:07:43.068000
33139,3879,2018-11-08_10:07:43.196000
33159,3391,2018-11-08_10:07:43.324000
33179,2275,2018-11-08_10:07:43.451000
33199,1535,2018-11-08_10:07:43.543000
33219,1138,2018-11-08_10:07:43.635000
33239,976,2018-11-08_10:07:43.731000
33259,961,2018-11-08_10:07:43.864000
33279,1006,2018-11-08_10:07:43.989000
33299,1042,2018-11-08_10:07:44.081000
33319,1034,2018-11-08_10:07:44.181000
33339,972,2018-11-08_10:07:44.281000
33359,870,2018-11-08_10:07:44.401000
33379,768,2018-11-08_10:07:44.527000
33399,677,2018-11-08_10:07:44.630000
33419,624,2018-11-08_10:07:44.718000
33439,606,2018-11-08_10:07:44.849000
33459,624,2018-11-08_10:07:44.980000
33479,669,2018-11-08_10:07:45.109000
33499,741,2018-11-08_10:07:45.212000
33519,825,2018-11-08_10:07:45.311000
33539,905,2018-11-08_10:07:45.474000
33559,975,2018-11-08_10:07:45.559000
33579,1021,2018-11-08_10:07:45.684000
33599,1042,2018-11-08_10:07:45.783000
33619,1030,2018-11-08_10:07:45.866000
33639,992,2018-11-08_10:07:45.951000
33659,983,2018-11-08_10:07:46.036000
33679,1165,2018-11-08_10:07:46.110000
33699,1758,2018-11-08_10:07:46.235000
33719,2835,2018-11-08_10:07:46.371000
33739,3885,2018-11-08_10:07:46.510000
33759,3879,2018-11-08_10:07:46.642000
33779,3882,2018-11-08_10:07:46.758000
33799,3883,2018-11-08_10:07:46.866000
33819,3883,2018-11-08_10:07:46.957000
33839,3887,2018-11-08_10:07:47.026000
33859,3887,2018-11-08_10:07:47.111000
33879,3887,2018-11-08_10:07:47.196000
33899,3887,2018-11-08_10:07:47.282000
33919,3883,2018-11-08_10:07:47.387000
33939,3883,2018-11-08_10:07:47.447000
33959,3885,2018-11-08_10:07:47.496000
33979,2751,2018-11-08_10:07:47.564000
33999,1895,2018-11-08_10:07:47.630000
34019,1388,2018-11-08_10:07:47.690000
34039,1198,2018-11-08_10:07:47.753000
34059,1221,2018-11-08_10:07:47.828000
34079,1327,2018-11-08_10:07:47.952000
34099,1411,2018-11-08_10:07:48.038000
34119,1411,2018-11-08_10:07:48.155000
34139,1335,2018-11-08_10:07:48.287000
34159,1185,2018-11-08_10:07:48.413000
34179,1014,2018-11-08_10:07:48.489000
34199,857,2018-11-08_10:07:48.567000
34219,740,2018-11-08_10:07:48.669000
34239,674,2018-11-08_10:07:48.752000
34259,669,2018-11-08_10:07:48.848000
34279,720,2018-11-08_10:07:48.943000
34299,809,2018-11-08_10:07:49.032000
34319,901,2018-11-08_10:07:49.087000
34339,976,2018-11-08_10:07:49.187000
34359,1014,2018-11-08_10:07:49.281000
34379,1018,2018-11-08_10:07:49.416000
34399,1006,2018-11-08_10:07:49.553000
34419,1043,2018-11-08_10:07:49.647000
34439,1310,2018-11-08_10:07:49.731000
34459,1957,2018-11-08_10:07:49.817000
34479,2941,2018-11-08_10:07:49.899000
34499,3879,2018-11-08_10:07:50.031000
34519,3883,2018-11-08_10:07:50.135000
34539,3883,2018-11-08_10:07:50.190000
34559,3885,2018-11-08_10:07:50.307000
34579,3879,2018-11-08_10:07:50.423000
34599,3887,2018-11-08_10:07:50.554000
34619,3879,2018-11-08_10:07:50.679000
34639,2963,2018-11-08_10:07:50.770000
34659,1937,2018-11-08_10:07:50.853000
34679,1092,2018-11-08_10:07:50.943000
34699,534,2018-11-08_10:07:51.022000
34719,336,2018-11-08_10:07:51.103000
34739,461,2018-11-08_10:07:51.195000
34759,813,2018-11-08_10:07:51.310000
34779,1260,2018-11-08_10:07:51.418000
34799,1638,2018-11-08_10:07:51.507000
34819,1867,2018-11-08_10:07:51.594000
34839,1898,2018-11-08_10:07:51.676000
34859,1762,2018-11-08_10:07:51.796000
34879,1498,2018-11-08_10:07:51.892000
34899,1200,2018-11-08_10:07:51.979000
34919,906,2018-11-08_10:07:52.071000
34939,674,2018-11-08_10:07:52.199000
34959,532,2018-11-08_10:07:52.333000
34979,476,2018-11-08_10:07:52.440000
34999,494,2018-11-08_10:07:52.507000
35019,560,2018-11-08_10:07:52.566000
35039,644,2018-11-08_10:07:52.691000
35059,746,2018-11-08_10:07:52.814000
35079,840,2018-11-08_10:07:52.936000
35099,912,2018-11-08_10:07:53.041000
35119,975,2018-11-08_10:07:53.152000
35139,1137,2018-11-08_10:07:53.275000
35159,1638,2018-11-08_10:07:53.407000
35179,2623,2018-11-08_10:07:53.522000
35199,3883,2018-11-08_10:07:53.608000
35219,3883,2018-11-08_10:07:53.719000
35239,3883,2018-11-08_10:07:53.835000
35259,3887,2018-11-08_10:07:53.913000
35279,3887,2018-11-08_10:07:54.012000
35299,3885,2018-11-08_10:07:54.132000
35319,3887,2018-11-08_10:07:54.241000
35339,3879,2018-11-08_10:07:54.370000
35359,3885,2018-11-08_10:07:54.504000
35379,3885,2018-11-08_10:07:54.632000
35399,3882,2018-11-08_10:07:54.774000
35419,3882,2018-11-08_10:07:54.906000
35439,3881,2018-11-08_10:07:55.040000
35459,2549,2018-11-08_10:07:55.173000
35479,1731,2018-11-08_10:07:55.322000
35499,1239,2018-11-08_10:07:55.463000
35519,1045,2018-11-08_10:07:55.587000
35539,1034,2018-11-08_10:07:55.700000
35559,1088,2018-11-08_10:07:55.835000
35579,1128,2018-11-08_10:07:55.974000
35599,1108,2018-11-08_10:07:56.114000
35619,1021,2018-11-08_10:07:56.246000
35639,890,2018-11-08_10:07:56.360000
35659,758,2018-11-08_10:07:56.453000
35679,656,2018-11-08_10:07:56.537000
35699,592,2018-11-08_10:07:56.651000
35719,576,2018-11-08_10:07:56.795000
35739,604,2018-11-08_10:07:56.889000
35759,665,2018-11-08_10:07:56.988000
35779,752,2018-11-08_10:07:57.081000
35799,842,2018-11-08_10:07:57.194000
35819,919,2018-11-08_10:07:57.320000
35839,976,2018-11-08_10:07:57.419000
35859,997,2018-11-08_10:07:57.561000
35879,993,2018-11-08_10:07:57.650000
35899,1008,2018-11-08_10:07:57.744000
35919,1225,2018-11-08_10:07:57.878000
35939,1883,2018-11-08_10:07:58.006000
35959,3059,2018-11-08_10:07:58.131000
35979,3883,2018-11-08_10:07:58.227000
35999,3883,2018-11-08_10:07:58.321000
36019,3886,2018-11-08_10:07:58.450000
36039,3887,2018-11-08_10:07:58.551000
36059,3879,2018-11-08_10:07:58.649000
36079,3885,2018-11-08_10:07:58.761000
36099,3888,2018-11-08_10:07:58.890000
36119,3883,2018-11-08_10:07:59.019000
36139,3887,2018-11-08_10:07:59.155000
36159,3879,2018-11-08_10:07:59.269000
36179,3883,2018-11-08_10:07:59.391000
36199,3879,2018-11-08_10:07:59.520000
36219,2511,2018-11-08_10:07:59.642000
36239,1616,2018-11-08_10:07:59.719000
36259,1053,2018-11-08_10:07:59.776000
36279,814,2018-11-08_10:07:59.875000
36299,809,2018-11-08_10:08:00.005000
36319,915,2018-11-08_10:08:00.134000
36339,1034,2018-11-08_10:08:00.248000
36359,1101,2018-11-08_10:08:00.344000
36379,1080,2018-11-08_10:08:00.459000
36399,979,2018-11-08_10:08:00.546000
36419,850,2018-11-08_10:08:00.671000
36439,727,2018-11-08_10:08:00.807000
36459,624,2018-11-08_10:08:00.951000
36479,562,2018-11-08_10:08:01.078000
36499,545,2018-11-08_10:08:01.195000
36519,576,2018-11-08_10:08:01.246000
