['43819', '1840.00', '1198.00', '4095.00', '2018-11-01_14:44:39.469229']
['43839', '1831.00', '1200.00', '4095.00', '2018-11-01_14:44:39.520872']
['43859', '1847.00', '1200.00', '4095.00', '2018-11-01_14:44:39.573393']
['43879', '1813.00', '1198.00', '4095.00', '2018-11-01_14:44:39.623981']
['43899', '1835.00', '1198.00', '4095.00', '2018-11-01_14:44:39.676111']
['43919', '1833.00', '1196.00', '4095.00', '2018-11-01_14:44:39.725162']
['43939', '1834.00', '1197.00', '4095.00', '2018-11-01_14:44:39.768809']
['43959', '1840.00', '1195.00', '4095.00', '2018-11-01_14:44:39.822381']
['43979', '1839.00', '1193.00', '4095.00', '2018-11-01_14:44:39.871485']
['43999', '1834.00', '1198.00', '4095.00', '2018-11-01_14:44:39.922572']
['44019', '1831.00', '1204.00', '4095.00', '2018-11-01_14:44:39.975211']
['44039', '1831.00', '1200.00', '4095.00', '2018-11-01_14:44:40.025739']
['44059', '1835.00', '1197.00', '4095.00', '2018-11-01_14:44:40.079309']
['44079', '1829.00', '1190.00', '4095.00', '2018-11-01_14:44:40.130457']
['44099', '1829.00', '1198.00', '4095.00', '2018-11-01_14:44:40.182969']
['44119', '1833.00', '1194.00', '4095.00', '2018-11-01_14:44:40.234624']
['44139', '1839.00', '1192.00', '4095.00', '2018-11-01_14:44:40.284704']
['44159', '1837.00', '1193.00', '4095.00', '2018-11-01_14:44:40.336290']
['44179', '1838.00', '1193.00', '4095.00', '2018-11-01_14:44:40.386340']
['44199', '1837.00', '1195.00', '4095.00', '2018-11-01_14:44:40.436926']
['44219', '1838.00', '1192.00', '4095.00', '2018-11-01_14:44:40.487027']
['44239', '1833.00', '1196.00', '4095.00', '2018-11-01_14:44:40.538650']
['44259', '1831.00', '1193.00', '4095.00', '2018-11-01_14:44:40.591671']
['44279', '1826.00', '1197.00', '4095.00', '2018-11-01_14:44:40.643809']
['44299', '1843.00', '1200.00', '4095.00', '2018-11-01_14:44:40.694389']
['44319', '1833.00', '1195.00', '4095.00', '2018-11-01_14:44:40.745433']
